SummonerName,WinLoss,Lane,Champion,Q casts,W casts,E casts,R casts,ChampLevel,CS,Kills,Deaths,Assists,Exp,Damage,Shielding,Healing,Total Damage Taken,Wards Placed,Wards Killed,Vision Score,Penta Kills,Game Time seconds,Crowd Control,Time spent dead,Kill participation,Team damage percentage,Skillshots hit,Skillshots dodged,Solo kills,Turret plates taken
honeythief,False,JUNGLE,Volibear,53,81,52,4,10,27,7,5,5,6431,10477,0,4655,19784,7,5,26,0,1208,633,85,0.8,0.24211248302348426,0,17,1,0
Incursio,False,MIDDLE,Katarina,62,39,0,7,12,142,3,4,7,9359,15644,0,1874,14638,3,0,6,0,1208,0,109,0.6666666666666666,0.36152867029161817,0,23,0,1
originalpainting,False,BOTTOM,KogMaw,23,32,28,34,12,165,2,7,1,9018,6856,0,0,11922,10,0,13,0,1208,322,139,0.2,0.1584497332762321,24,14,1,0
LUCIANEZREAL,False,UTILITY,Nami,25,34,36,4,7,2,1,12,6,4053,5853,715,3015,15664,9,2,25,0,1208,92,200,0.4666666666666667,0.1352570386827264,35,19,0,1
top gap,True,TOP,Gangplank,154,17,75,5,13,154,4,4,7,10560,14410,0,2887,13405,9,0,19,0,1208,176,86,0.34375,0.2143589989462761,22,5,0,2
BioPanther,True,JUNGLE,Graves,79,22,46,6,12,37,4,3,11,9315,15868,0,3294,15307,5,8,25,0,1208,390,50,0.46875,0.23605145562008858,35,8,1,4
Thiensf,True,MIDDLE,Galio,46,15,31,4,12,115,6,5,6,9086,10340,300,1169,14458,7,2,24,0,1208,63,120,0.375,0.15381609651230493,23,12,1,0
DW Danteh,True,BOTTOM,Lucian,61,33,49,7,13,164,16,2,6,10736,22552,0,1075,11774,6,4,15,0,1208,29,39,0.6875,0.3354687001684522,17,8,3,9
AuS jenats,True,UTILITY,Lulu,47,56,58,6,11,16,2,1,17,7521,4054,2807,945,6337,22,2,44,0,1208,164,21,0.59375,0.06030474875287815,33,5,0,7
SexyDDY,True,TOP,Karma,127,16,105,45,13,125,3,2,14,11223,15900,3802,2451,13068,9,6,26,0,1504,300,53,0.6538461538461539,0.20057273937095418,47,26,0,6
Norbit,True,JUNGLE,LeeSin,203,189,141,6,14,37,5,3,8,12442,16329,248,6544,25548,10,5,28,0,1504,500,46,0.5,0.20598863218202543,22,29,0,5
Anshiqichuang,True,MIDDLE,Leblanc,93,158,47,27,14,168,10,1,6,12904,21474,0,2292,10944,5,5,17,0,1504,68,32,0.6153846153846154,0.27088670990600205,31,13,2,6
Pineapplé,True,BOTTOM,Ezreal,245,40,27,12,13,175,7,2,7,10875,19986,0,416,12456,6,4,23,0,1504,104,21,0.5384615384615384,0.25211520529420706,65,17,0,1
DaJeung,True,UTILITY,Braum,63,13,16,5,11,32,1,6,13,8272,5583,1246,671,15688,22,5,47,0,1504,98,110,0.5384615384615384,0.0704367132468113,28,30,0,0
YehudiHopki,False,TOP,Soraka,132,22,35,7,13,147,1,2,9,11179,6118,738,17325,14157,10,2,15,0,1504,422,62,0.7142857142857143,0.10628268050523502,46,11,0,1
originalpainting,False,JUNGLE,Trundle,131,78,24,5,12,18,4,4,8,9086,5402,0,11118,26916,7,5,22,0,1504,673,81,0.8571428571428571,0.09385180282296406,0,14,0,0
Incursio,False,MIDDLE,Katarina,59,44,0,7,12,150,2,8,9,9784,13481,0,2501,22268,6,1,10,0,1504,0,225,0.7857142857142857,0.23419271022221314,2,19,0,1
MID Beginner,False,BOTTOM,Kaisa,59,22,89,5,12,188,6,6,5,9319,15167,0,606,14832,5,5,14,0,1504,48,182,0.7857142857142857,0.26348734972933896,15,19,0,1
weaksidemeseewha,False,UTILITY,Maokai,27,15,109,6,10,11,1,6,11,7131,17395,0,1744,17219,24,3,44,0,1504,306,112,0.8571428571428571,0.3021854567202488,46,26,0,0
nathan19,True,TOP,Lulu,83,46,76,6,14,113,4,4,8,11996,12016,2975,2548,13780,8,1,14,0,1341,360,98,0.375,0.16892490349768421,96,27,3,1
Zexquana,True,JUNGLE,MonkeyKing,127,33,78,21,14,24,11,4,9,11536,15501,0,7216,22715,5,4,24,0,1341,117,125,0.625,0.21790598225127245,0,34,4,0
tai yang,True,MIDDLE,Viktor,74,21,80,31,14,172,3,2,4,12153,13635,0,95,11278,10,0,14,0,1341,232,57,0.21875,0.19167214268609448,92,25,0,4
YehudiHopki,True,BOTTOM,Vayne,97,0,11,4,13,163,10,2,7,10401,21149,0,2529,12914,7,2,14,0,1341,99,32,0.53125,0.29730043910839365,62,9,0,4
1MightyBullDog3,True,UTILITY,Karma,61,25,90,29,12,22,4,2,16,8751,8835,5132,66,10474,23,6,50,0,1341,167,30,0.625,0.12419653245655522,61,7,0,2
jùnyi,False,TOP,Gwen,74,18,126,26,14,146,6,7,1,11750,12416,0,2042,22700,6,3,17,0,1341,146,214,0.5,0.264754510547104,67,39,2,1
1942 M4 Sherman,False,JUNGLE,Lillia,134,52,53,5,13,52,2,6,5,10463,9742,0,10356,25782,4,2,20,0,1341,324,117,0.5,0.20772546061992614,6,14,1,0
Incursio,False,MIDDLE,Yone,150,43,36,4,12,122,2,7,4,8886,7597,0,73,16059,4,1,12,0,1341,77,204,0.42857142857142855,0.1619840315711775,4,32,0,0
DW Danteh,False,BOTTOM,Kaisa,57,23,53,3,12,155,1,7,3,9335,6721,0,1767,15829,5,3,9,0,1341,0,143,0.2857142857142857,0.1433232352765198,8,13,0,0
SUIIII,False,UTILITY,Senna,47,25,12,3,10,34,2,5,4,6737,10421,623,4297,11603,22,10,50,0,1341,222,88,0.42857142857142855,0.22221276198527257,18,19,0,0
Apink,False,TOP,Jax,36,76,22,6,14,177,4,5,2,11905,9888,0,3455,19246,8,1,14,0,1586,41,184,0.18181818181818182,0.18686262606588538,0,50,0,0
yqi,False,JUNGLE,Ivern,47,4,78,61,12,14,1,5,11,9399,4238,6467,3200,14726,5,5,19,0,1586,182,175,0.36363636363636365,0.08008210564611025,29,33,1,3
08062021,False,MIDDLE,Taliyah,175,38,57,17,13,154,4,8,7,11420,19117,0,633,19612,10,1,19,0,1586,425,225,0.3333333333333333,0.3612475706945363,199,37,1,5
Hason,False,BOTTOM,Draven,66,82,13,10,12,166,5,7,3,9292,14664,0,810,16732,8,1,18,0,1586,64,150,0.24242424242424243,0.27710685087322595,14,27,1,1
Taco Salsa,False,UTILITY,Karma,42,15,92,25,10,7,1,8,4,6166,5011,2100,435,14308,24,6,60,0,1586,103,200,0.15151515151515152,0.09470084672024214,33,26,0,1
surpa,True,TOP,Gwen,76,16,105,26,15,175,4,3,3,13402,10328,0,3189,20985,9,4,23,0,1586,99,113,0.4666666666666667,0.13495539489357114,37,10,1,4
Incursio,True,JUNGLE,Kayn,212,103,78,14,18,82,18,1,5,18487,29085,0,12290,22166,0,2,9,1,1586,399,14,1.5333333333333334,0.38003304539422805,22,22,2,0
Nyaru,True,MIDDLE,Galio,55,17,51,4,13,114,4,6,9,11319,11581,525,913,22256,8,7,27,0,1586,73,176,0.8666666666666667,0.15132414412714132,21,32,0,0
YehudiHopki,True,BOTTOM,Ezreal,293,69,35,10,14,200,5,2,11,12605,18020,0,2583,16312,8,4,23,0,1586,25,27,1.0666666666666667,0.2354533113369267,71,8,0,4
DaJeung,True,UTILITY,Yuumi,44,106,67,7,13,4,2,3,24,10654,7518,2319,12127,8569,22,2,36,0,1586,49,76,1.7333333333333334,0.09823410424813275,116,56,0,3
Mogur1,True,TOP,Yorick,146,18,33,12,15,175,1,7,4,14619,13564,0,4131,21735,8,0,13,0,1650,88,144,0.2,0.16701678618515406,6,39,0,5
Luquhorijy,True,JUNGLE,Evelynn,599,27,131,7,15,41,7,4,8,14565,17040,0,14021,29649,7,4,21,0,1650,185,106,0.6,0.20982609995755133,20,37,0,0
Incursio,True,MIDDLE,Katarina,74,52,0,12,15,170,13,6,4,14110,22486,0,4877,25162,4,6,14,0,1650,19,186,0.68,0.27687529440329106,0,53,4,2
LUCIANEZREAL,True,BOTTOM,Lucian,74,39,49,10,15,228,8,4,4,13491,20088,0,2623,17815,14,4,34,0,1650,17,95,0.48,0.24734991645782425,10,17,2,5
1MightyBullDog3,True,UTILITY,Nami,30,75,76,10,14,8,2,4,20,11740,8034,0,11538,11982,41,5,70,0,1650,160,132,0.88,0.09893190299617928,15,35,0,4
Kišee,False,TOP,Trundle,166,89,20,9,16,253,4,5,8,16331,17541,0,8860,27852,7,3,24,0,1650,511,148,0.4,0.2380091628471022,0,9,3,5
weixin1585410146,False,JUNGLE,Talon,88,217,110,14,15,43,10,4,4,14279,16492,0,7799,26275,4,3,20,0,1650,246,137,0.4666666666666667,0.22377608608171187,57,14,2,3
Irelfish,False,MIDDLE,Lissandra,88,41,50,13,14,158,3,7,7,11818,14664,0,833,16190,12,4,27,0,1650,233,192,0.3333333333333333,0.19897319246401285,28,21,0,0
cattle 2,False,BOTTOM,Ezreal,227,23,24,10,14,179,7,8,2,12386,17851,0,80,18821,8,0,9,0,1650,8,168,0.3,0.2422191271443603,58,14,0,0
123liyiyao456,False,UTILITY,Karma,69,19,111,24,13,45,1,7,10,10358,7150,2946,777,16025,29,9,65,0,1650,167,153,0.36666666666666664,0.0970224314628128,49,3,1,0
nathan19,True,TOP,Karma,146,62,145,45,17,179,14,4,10,17921,28179,6659,5204,22215,12,2,33,0,1713,332,128,0.8571428571428571,0.2677196296029846,116,91,9,3
Léft,True,JUNGLE,Graves,90,25,39,10,15,89,5,11,12,14430,16857,0,7780,33539,5,14,43,0,1713,241,341,0.6071428571428571,0.16015859334239224,29,89,1,3
Incursio,True,MIDDLE,Sylas,96,64,165,27,16,144,15,5,7,15090,20042,0,7088,28128,8,0,26,0,1713,375,165,0.7857142857142857,0.19042099002767418,14,118,2,2
cxvhzio,True,BOTTOM,Lucian,73,46,58,15,16,211,16,5,12,14987,25155,0,1616,23199,12,2,30,0,1713,63,180,1,0.2389895284817203,14,89,0,5
war pig1,True,UTILITY,Senna,78,50,38,8,14,24,2,4,30,12369,15021,4388,19930,15075,31,16,79,0,1713,186,90,1.1428571428571428,0.14271125854522865,25,104,0,4
Thiensf,False,TOP,Camille,178,49,90,7,15,177,3,12,5,13513,14354,0,2064,30105,8,2,13,0,1713,185,333,0.15384615384615385,0.15274701212209785,1,27,2,3
SKT Jankos,False,JUNGLE,Lillia,142,48,71,12,15,59,8,11,10,14234,22076,0,12386,34780,2,7,32,0,1713,282,261,0.34615384615384615,0.23491500532125995,8,29,1,0
lbkiwjnx,False,MIDDLE,Akshan,58,21,65,10,16,215,10,9,6,15010,19494,0,1025,19263,9,3,20,0,1713,3,241,0.3076923076923077,0.20744282659077076,46,11,3,1
aspiringPro ad,False,BOTTOM,Ezreal,262,27,40,15,14,167,6,8,8,12528,18132,0,1083,19331,8,9,25,0,1713,31,178,0.2692307692307692,0.19295035308525837,79,19,1,1
ollwig,False,UTILITY,Ashe,0,112,21,17,12,24,1,12,12,9188,19918,0,493,19589,37,4,59,0,1713,483,250,0.25,0.21194480288061307,162,34,0,1
BioPanther,True,TOP,Kled,91,0,56,6,16,207,8,1,8,15533,17615,0,5445,27940,11,2,29,0,1568,81,32,0.9411764705882353,0.2265349568383367,67,15,2,4
slogdogs fart,True,JUNGLE,Karthus,464,24,136,7,16,42,11,3,5,15535,23822,0,8435,18135,4,3,17,0,1568,127,65,0.9411764705882353,0.306360327513438,0,5,0,1
Rejiekˉ,True,MIDDLE,Talon,54,89,185,14,14,144,4,7,7,12150,14995,0,2283,20494,3,0,11,0,1568,102,208,0.6470588235294118,0.19284989741052752,38,10,2,4
Hoopa1,True,BOTTOM,Lucian,71,33,44,14,14,210,6,5,7,11542,16169,0,17,12949,17,3,35,0,1568,47,147,0.7647058823529411,0.20794899604596606,14,11,0,1
AuS jenats,True,UTILITY,Lulu,45,61,66,10,12,7,0,4,13,8956,5155,3484,212,9674,31,1,45,0,1568,186,113,0.7647058823529411,0.06630582219173176,63,7,0,1
Thiensf,False,TOP,Camille,186,48,78,4,15,209,3,9,1,13529,19677,0,6281,29521,8,3,17,0,1568,174,266,0.125,0.3148970093395723,2,29,1,0
cattle 2,False,JUNGLE,MonkeyKing,118,33,75,17,12,26,2,7,6,9946,9384,0,7164,23706,5,6,26,0,1568,113,126,0.25,0.15018298285257584,0,38,0,5
Incursio,False,MIDDLE,Katarina,70,59,0,10,15,206,11,2,2,13646,20806,0,5052,20740,3,2,11,0,1568,2,45,0.40625,0.33297499940222114,0,32,3,2
lbkiwjnx,False,BOTTOM,Akshan,52,12,51,7,13,147,4,5,2,10135,5835,0,516,13323,5,3,12,0,1568,16,140,0.1875,0.09338812009401304,16,9,1,3
Fruitcake,False,UTILITY,Nami,35,62,58,7,12,13,0,6,12,9053,6783,0,7295,15026,25,8,60,0,1568,232,181,0.375,0.10855688831161768,13,15,0,0
Rival,True,TOP,Riven,444,78,174,18,18,265,5,1,2,19311,12177,0,5267,20428,14,7,32,0,2227,322,53,0.2692307692307692,0.13761678299016578,9,8,0,0
Incursio,True,JUNGLE,Kayn,236,112,113,28,18,34,15,6,6,19932,32344,0,17709,33678,1,5,24,0,2227,273,220,0.8076923076923077,0.3655219310588336,17,21,4,2
Anshiqichuang,True,MIDDLE,Leblanc,103,227,54,45,17,217,6,3,11,17386,20838,0,3964,24614,7,9,34,0,2227,48,150,0.6538461538461539,0.2354948688131966,30,5,3,1
cxvhzio,True,BOTTOM,Kaisa,94,53,76,8,17,278,7,5,10,17571,18393,0,7008,22781,11,7,29,0,2227,86,166,0.6538461538461539,0.20785950942639464,26,9,1,2
AuS jenats,True,UTILITY,Lulu,60,88,94,9,15,38,0,5,20,14053,4734,5954,1812,17551,49,13,100,0,2227,240,158,0.7692307692307693,0.053506907711409334,45,9,0,2
BioPanther,False,TOP,Jax,70,119,100,8,17,272,1,5,1,16719,11492,0,3872,22853,15,5,39,0,2227,898,184,0.07407407407407407,0.12664390499317366,0,27,0,1
slogdogs fart,False,JUNGLE,Karthus,606,61,174,9,17,81,1,6,7,17170,22722,0,10995,30628,3,6,19,0,2227,292,163,0.2962962962962963,0.2503878351064133,9,17,0,1
war pig1,False,MIDDLE,Karma,123,39,205,57,15,146,2,6,11,13316,13608,5138,1081,21690,16,9,51,0,2227,212,176,0.48148148148148145,0.14995128228798385,79,7,0,0
Hoopa1,False,BOTTOM,Lucian,95,62,67,22,17,326,15,7,3,16729,35035,0,427,20476,19,14,47,0,2227,72,169,0.6666666666666666,0.38606236268525373,20,27,0,3
zSpectrum,False,UTILITY,Nami,32,100,124,11,15,7,1,9,16,13420,7891,0,10445,19418,47,7,89,0,2227,190,254,0.6296296296296297,0.0869546149271754,7,14,0,1
antzo,False,TOP,Nasus,54,6,14,6,8,64,0,4,1,4684,4407,0,0,11643,3,0,4,0,918,30,110,0.05263157894736842,0.23765136462759073,0,19,0,0
Luquhorijy,False,JUNGLE,Kindred,59,17,10,0,5,2,0,1,1,2348,1098,0,2510,6274,6,0,6,0,918,58,14,0.05263157894736842,0.05921200768647636,3,4,0,0
Distortion,False,MIDDLE,Sylas,32,17,60,10,9,102,1,3,1,6064,4614,0,377,7029,6,1,14,0,918,154,56,0.10526315789473684,0.24881607579811013,3,10,0,0
Styx Eterna,False,BOTTOM,Ezreal,82,7,14,2,8,97,1,4,1,4400,3480,0,0,5864,8,0,6,0,918,4,51,0.10526315789473684,0.18770166942633046,21,13,0,0
war pig1,False,UTILITY,Karma,29,20,52,20,7,6,1,7,2,3327,4944,530,131,10324,9,2,22,0,918,115,103,0.15789473684210525,0.2666188824614923,40,20,0,0
Toppy,True,TOP,Gnar,56,7,15,2,11,123,3,1,0,8283,8355,0,447,8594,3,2,6,0,918,206,35,1,0.30075958806883407,25,2,3,4
cattle 2,True,JUNGLE,MonkeyKing,73,25,44,9,9,10,1,0,7,5719,3237,0,3879,8423,5,1,13,0,918,47,0,2.6666666666666665,0.11653265275687873,0,5,0,3
Incursio,True,MIDDLE,Katarina,47,38,0,4,10,125,12,0,2,6577,10270,0,1657,9112,2,1,9,0,918,40,0,4.666666666666667,0.36970330960893283,1,10,1,5
Int or 1v9,True,BOTTOM,Jhin,40,24,20,5,10,127,0,2,6,6825,2947,0,1249,4948,3,0,4,0,918,37,14,2,0.10609151027521414,4,2,0,6
Fruitcake,True,UTILITY,Yuumi,19,82,21,2,8,3,2,0,10,4863,2970,672,3013,2176,6,1,16,0,918,22,0,4,0.10691293929014026,47,27,1,4
Ming142,False,MIDDLE,Zilean,261,78,84,5,13,154,2,2,6,11089,8714,631,737,10918,7,2,13,0,1415,299,50,0.2857142857142857,0.18692438458698327,56,19,0,0
1942 M4 Sherman,False,JUNGLE,Nocturne,82,12,36,18,13,46,3,6,7,10744,9881,0,7529,24760,5,1,18,0,1415,585,129,0.35714285714285715,0.21195170199962382,19,17,0,0
08062021,False,TOP,Olaf,88,32,57,7,12,118,2,10,4,8836,14650,0,1393,19281,5,1,7,0,1415,218,282,0.21428571428571427,0.3142391170937664,32,9,0,0
cxvhzio,False,BOTTOM,Kaisa,67,22,42,3,12,157,3,8,3,9149,9310,0,804,14828,8,4,18,0,1415,17,157,0.21428571428571427,0.19970775335467336,7,23,0,0
Ironpup,False,UTILITY,Nami,35,52,66,4,10,16,3,2,6,7264,4064,0,6365,7103,18,4,39,0,1415,173,41,0.32142857142857145,0.08717704296495311,6,11,0,0
Chirp,True,TOP,Mordekaiser,89,34,47,7,15,177,4,2,3,14114,9118,0,4121,15920,8,3,17,0,1415,34,66,0.5384615384615384,0.14478204604158537,0,10,4,0
SplitingMachine,True,JUNGLE,Ekko,95,31,73,3,14,34,2,0,7,11544,7603,0,10699,20820,1,1,10,0,1415,265,0,0.6923076923076923,0.12071947317916881,25,14,0,3
Incursio,True,MIDDLE,Yone,192,53,40,5,14,185,3,5,2,12201,9864,0,443,12736,7,1,18,0,1415,113,150,0.38461538461538464,0.1566170557798321,5,25,1,5
euphoria777,True,BOTTOM,Lucian,69,40,43,10,14,189,12,3,6,12374,20648,0,821,13900,6,0,6,0,1415,77,76,1.3846153846153846,0.32784362521326943,8,6,2,10
Ao Li,True,UTILITY,Senna,62,26,23,6,13,19,7,3,12,10329,15748,826,9689,9495,27,14,66,0,1415,168,65,1.4615384615384615,0.25003779978614427,18,8,0,8
Toppy,True,TOP,Olaf,135,55,63,7,17,237,2,3,13,17945,15783,0,5334,21073,11,2,30,0,1730,513,80,1.25,0.20560098457332346,30,18,0,1
Creabhop,True,JUNGLE,Nocturne,143,19,41,24,16,44,10,2,10,16339,17295,0,13972,27845,3,4,16,0,1730,809,56,1.6666666666666667,0.2253051596953577,22,8,1,0
Incursio,True,MIDDLE,Zoe,269,30,39,48,17,218,10,1,5,17554,25193,0,2331,11443,11,3,25,0,1730,105,41,1.25,0.32818461991420755,46,10,4,1
6pi,True,BOTTOM,Kaisa,58,32,82,5,15,206,7,2,4,14435,12545,0,3054,13182,9,9,26,0,1730,34,37,0.9166666666666666,0.1634216645363877,18,10,0,0
Sex Search,True,UTILITY,Rakan,32,56,88,8,12,34,1,4,12,9865,5948,2586,4374,15080,39,10,81,0,1730,54,70,1.0833333333333333,0.07748757128072362,17,9,0,0
ollwig,False,TOP,Kayle,54,41,72,3,15,206,5,8,0,13952,12953,0,3567,19946,9,1,14,0,1730,179,207,0.16666666666666666,0.22187655832911338,12,19,4,3
Erdtree,False,JUNGLE,LeeSin,201,152,117,6,13,12,1,5,3,10060,6750,511,6136,24289,13,8,26,0,1730,349,178,0.13333333333333333,0.11563293602532647,14,15,0,2
RWMK,False,MIDDLE,Veigar,122,69,29,4,13,187,0,5,1,11123,6636,0,1102,17701,12,6,29,0,1730,72,157,0.03333333333333333,0.11367370373405493,19,19,0,0
LeanBeefPatty,False,BOTTOM,KogMaw,25,37,37,37,14,220,5,3,1,12301,17186,0,920,16977,7,3,13,0,1730,269,125,0.2,0.294384328657495,34,21,0,2
Benzargo,False,UTILITY,Xerath,59,38,20,27,11,36,1,9,6,8482,14853,0,954,17344,29,8,66,0,1730,73,188,0.23333333333333334,0.25443247325401025,64,23,0,0
CindereIla,True,JUNGLE,Rengar,209,89,108,11,17,25,22,2,8,17488,32160,0,18336,28606,4,6,33,1,1698,343,56,1.3043478260869565,0.3056042251899378,23,16,7,4
1942 M4 Sherman,True,TOP,Ornn,81,33,35,16,15,175,2,4,19,14079,16081,0,4792,24030,11,2,25,0,1698,1502,143,0.9130434782608695,0.15281439909476335,37,34,0,4
Incursio,True,MIDDLE,Akali,148,32,77,21,16,174,10,4,8,15563,20913,0,4006,25453,5,1,18,0,1698,69,139,0.782608695652174,0.19873391145954783,42,17,3,4
Hoopa1,True,BOTTOM,Ezreal,263,41,39,12,15,198,4,5,19,14518,23448,0,4094,16701,12,6,29,0,1698,12,113,1,0.222822782125318,86,9,1,5
LeanBeefPatty,True,UTILITY,Pyke,49,51,43,15,14,52,7,8,11,11606,12630,0,6030,19737,44,20,98,0,1698,62,156,0.782608695652174,0.12002468213043303,28,4,0,0
antzo,False,TOP,Nasus,168,20,37,9,14,165,7,8,3,12799,21718,0,4011,36046,8,1,13,0,1698,71,247,0.2222222222222222,0.2511750187040613,0,315,3,0
ollwig,False,JUNGLE,LeeSin,152,137,77,7,13,34,5,9,8,10801,10152,860,5347,27466,12,2,18,0,1698,237,238,0.28888888888888886,0.11741496144873381,19,60,0,0
Sempiternal,False,MIDDLE,Viktor,99,20,89,106,15,190,4,8,5,13912,25680,0,21,20252,8,3,21,0,1698,268,234,0.2,0.2969997232127591,76,248,0,2
cxvhzio,False,BOTTOM,Lucian,73,41,49,15,13,208,6,10,9,11023,19501,0,168,21805,12,4,23,0,1698,97,235,0.3333333333333333,0.22553779110364222,19,90,0,5
adgapsorry,False,UTILITY,Nami,35,60,80,10,12,21,1,10,15,9562,9413,0,8054,16828,34,12,51,0,1698,167,218,0.35555555555555557,0.1088725055308036,9,49,0,3
top gap,True,TOP,Gangplank,170,20,90,7,16,247,4,2,8,16372,18833,0,5569,18372,9,0,28,0,1531,226,89,0.5217391304347826,0.20869075599360373,0,13,3,4
08062021,True,JUNGLE,Qiyana,150,198,52,9,15,34,11,5,8,13408,19095,0,8216,22050,5,3,15,0,1531,197,184,0.8260869565217391,0.21159379646747073,28,34,5,3
Incursio,True,MIDDLE,Katarina,65,53,0,9,14,114,18,8,3,11557,25990,0,3751,22619,1,3,15,0,1531,29,208,0.9130434782608695,0.28799529709996996,2,27,6,1
gala2,True,BOTTOM,Kaisa,62,29,70,6,15,209,9,4,7,13603,21217,0,1649,13476,8,7,20,0,1531,66,130,0.6956521739130435,0.23510130624160736,13,25,3,3
1MightyBullDog3,True,UTILITY,Rakan,26,38,67,7,12,25,4,6,18,9519,5109,2669,1943,12427,30,10,57,0,1531,64,129,0.9565217391304348,0.05661884419734823,15,38,0,0
Toppy,False,TOP,Tryndamere,44,19,90,6,14,197,3,6,1,12991,6480,0,7551,27317,8,2,15,0,1531,35,173,0.08695652173913043,0.10896472869750266,0,11,0,0
Sempiternal,False,JUNGLE,Graves,83,41,40,14,14,89,8,12,10,12883,20992,0,4698,26860,8,7,24,0,1531,395,328,0.391304347826087,0.35298090815880984,37,27,1,1
Shok,False,MIDDLE,Zoe,175,8,32,23,13,143,3,11,9,11407,11821,0,578,20357,14,4,33,0,1531,107,290,0.2608695652173913,0.1987690444148318,28,29,0,1
Jolyne Cujoh,False,UTILITY,Pyke,35,62,44,11,12,27,5,10,10,9012,7124,0,3323,20047,28,7,55,0,1531,50,253,0.32608695652173914,0.11979669055398469,16,13,0,1
Gus,False,BOTTOM,Twitch,27,48,36,8,13,164,3,7,8,11189,13053,0,1260,15349,3,4,9,0,1531,435,191,0.2391304347826087,0.219488628174871,13,13,0,1
Kaze Meiji,False,TOP,Sion,77,47,55,6,14,213,2,6,4,13008,16352,0,5342,31613,9,1,23,0,1503,672,95,0.18181818181818182,0.21213392440281398,17,34,0,3
08062021,False,JUNGLE,Qiyana,131,191,44,10,13,37,8,11,5,11070,18469,0,6508,24353,7,3,17,0,1503,132,283,0.3939393939393939,0.23959147029172007,32,60,0,0
Kišee,False,MIDDLE,Taliyah,163,32,45,11,12,153,2,8,6,9578,18285,0,2016,22661,11,0,16,0,1503,422,230,0.24242424242424243,0.23720344010175554,129,36,1,1
LeanBeefPatty,False,BOTTOM,KogMaw,14,29,30,31,12,183,2,7,5,9895,17174,0,1669,19801,5,2,11,0,1503,283,146,0.21212121212121213,0.22278756880698525,31,35,0,5
1MightyBullDog3,False,UTILITY,Nautilus,47,28,30,6,10,31,2,7,7,6952,6805,0,1289,14506,11,5,29,0,1503,321,100,0.2727272727272727,0.08828359639672513,13,43,0,0
Ioveshot,True,TOP,Ornn,78,74,37,14,16,196,6,1,8,15693,20272,0,1850,22026,12,5,34,0,1503,1005,35,0.6363636363636364,0.21396776651031305,43,23,3,1
Sempiternal,True,JUNGLE,Gwen,105,18,155,25,15,51,6,5,10,13455,17565,0,8735,32749,2,4,19,0,1503,165,115,0.7272727272727273,0.18538898091508293,64,54,1,0
Incursio,True,JUNGLE,Katarina,78,63,0,11,16,181,20,2,5,14894,30656,0,5303,24655,1,0,9,0,1503,109,18,1.1363636363636365,0.32355634393022437,8,34,4,2
cxvhzio,True,BOTTOM,Ezreal,262,39,43,15,15,191,6,4,8,13112,22369,0,518,19077,6,1,10,0,1503,48,84,0.6363636363636364,0.23609326796431546,81,32,0,0
